name,No_review,MRP,Discounted Price,Discount
Scarlett 1.8 Liter 1500 Watt Stainless Steel Electric Kettle,(896),"Rs. 1,499",Rs.  625,58% Off
Prestige PKCS 1.2 Liter 1500 Watt Stainless Steel Electric Kettle,(369),"Rs. 1,245",Rs.  780,37% Off
Wonderchef 1.2 Liter 1000 Watt Plastic Electric Kettle,(7),"Rs. 3,000","Rs.  1,999",33% Off
Prestige PKTS 0.5 Liter 700 Watt Stainless Steel Electric Kettle,(2),"Rs. 1,695","Rs.  1,270",25% Off
Milton Combo Set Go Electro 1.2 Ltrs Electric Kettle and Duo DLX 350 ml- Silver Thermosteel Hot or Cold Stainless Steel Water Bottle,(1),"Rs. 1,979","Rs.  1,543",22% Off
Brightflame Auto-Switch 1.8 Liter 1500 Watt Stainless Steel Electric Kettle,(75),Rs. 999,Rs.  625,37% Off
Maharaja Whiteline Viva Classic Metallic Black And Silver 1.5L Electric Kettle With Bis Plug,(48),"Rs. 1,199",Rs.  799,33% Off
Scarlett 2 Liters 1500 Watts Stainless Steel Electric Kettle,(129),"Rs. 1,499",Rs.  699,53% Off
VanDelay 1.8 Liter 1500 Watt Plastic Electric Kettle,(19),"Rs. 1,499",Rs.  725,52% Off
"Milton Combo Set Go Electro 2 Ltrs Electric Kettle and Alive 750 ml Black, Stainless Steel Water Bottle",(6),"Rs. 1,952","Rs.  1,522",22% Off
Eslite 1.8 Liter 1800 Watt Stainless Steel Electric Kettle,(3),"Rs. 1,999","Rs.  1,099",45% Off
Milton Combo Set Go Electro 2 Ltrs Electric Kettle and Flip Lid 350 ml- Silver Thermosteel Hot or Cold Stainless Steel Water Bottle with Jacket,(1),"Rs. 2,319","Rs.  1,808",22% Off
Eslite 1.8 Liter 1800 Watt Stainless Steel Electric Kettle,(1),"Rs. 1,999","Rs.  1,099",45% Off
Prestige PCMD Drip Type 4 -Cups 800 watt Coffee Maker,(1),"Rs. 2,995","Rs.  2,400",20% Off
Concord 1.8 Litre Electric Kettle 1500 Watts ( With long wire 1.5 metre),(456),"Rs. 1,199",Rs.  825,31% Off
Lifelong LLEK15 1.5 Liter 1500 Watt Stainless Steel Electric Kettle,(116),"Rs. 1,000",Rs.  725,28% Off
Milton Combo Set Go Electro 2 Ltrs Electric Kettle and Duo DLX 350 ml- Silver Thermosteel Hot or Cold Stainless Steel Water Bottle,(1),"Rs. 2,379","Rs.  1,855",22% Off
Concord TPSK 0818 1.8 Liter 1500 Watt Stainless Steel Electric Kettle,(42),"Rs. 1,199",Rs.  825,31% Off
Prestige 1.2 Liter 1500 Watt Glass Electric Kettle,(2),"Rs. 2,695","Rs.  1,620",40% Off
Milton Combo Set Go Electro 1.2 Ltrs Electric Kettle and Flip Lid 500 ml- Silver Thermosteel Hot or Cold Stainless Steel Water Bottle with Jacket,(1),"Rs. 2,009","Rs.  1,567",22% Off
